team_rank,player_name,age,gp,gs,min,fgm,fga,fg_percent,three_point_made,three_point_attempt,three_point_percent,two_point_made,two_point_attempt,two_point_percent,efg,ftm,fta,ft_percent,orb,drb,trb,ast,stl,blk,turnovers,fouls,points,Team_Id,TEAM_ID
1,Trae Young,22,63,63,33.7,7.7,17.7,0.438,2.2,6.3,0.343,5.6,11.3,0.491,0.499,7.7,8.7,0.886,0.6,3.3,3.9,9.4,0.8,0.2,4.1,1.8,25.3,Atlanta Hawks,1610612737
2,Kevin Huerter,22,69,49,30.8,4.6,10.6,0.432,2,5.6,0.363,2.6,5,0.51,0.528,0.7,0.9,0.781,0.6,2.8,3.3,3.5,1.2,0.3,1.1,2.4,11.9,Atlanta Hawks,1610612737
3,Clint Capela,26,63,63,30.1,6.6,11,0.594,0,0,,6.6,11,0.594,0.594,2.1,3.6,0.573,4.7,9.6,14.3,0.8,0.7,2,1.2,2.3,15.2,Atlanta Hawks,1610612737
4,Bogdan Bogdanovic,28,44,27,29.7,6.1,12.8,0.473,3.3,7.6,0.438,2.8,5.3,0.522,0.602,0.9,1,0.909,0.5,3.2,3.6,3.3,1.1,0.3,1.2,2.3,16.4,Atlanta Hawks,1610612737
5,De'Andre Hunter,23,23,19,29.5,5.2,10.8,0.484,1.3,4.1,0.326,3.9,6.7,0.582,0.546,3.2,3.7,0.859,0.7,4,4.8,1.9,0.8,0.5,1.3,2.6,15,Atlanta Hawks,1610612737
6,John Collins,23,63,63,29.3,6.8,12.2,0.556,1.3,3.3,0.399,5.5,8.9,0.615,0.61,2.7,3.2,0.833,1.9,5.5,7.4,1.2,0.5,1,1.3,3.1,17.6,Atlanta Hawks,1610612737
7,Cam Reddish,21,26,21,28.8,3.7,10.1,0.365,1.3,4.8,0.262,2.4,5.3,0.46,0.428,2.6,3.2,0.817,0.8,3.2,4,1.3,1.3,0.3,1.3,2.6,11.2,Atlanta Hawks,1610612737
8,Danilo Gallinari,32,51,4,24,4,9.3,0.434,2,5,0.406,2,4.3,0.466,0.542,3.2,3.4,0.925,0.3,3.8,4.1,1.5,0.6,0.2,0.8,2.1,13.3,Atlanta Hawks,1610612737
9,Solomon Hill,29,71,16,21.3,1.5,4.2,0.359,1,3,0.321,0.5,1.2,0.453,0.473,0.5,0.6,0.761,0.6,2.4,3,1.1,0.7,0.2,0.6,1.6,4.5,Atlanta Hawks,1610612737
10,Tony Snell,29,47,23,21.1,1.9,3.6,0.515,1.3,2.3,0.569,0.6,1.3,0.419,0.696,0.2,0.2,1,0.4,2,2.4,1.3,0.3,0.2,0.4,1.6,5.3,Atlanta Hawks,1610612737
11,Lou Williams,34,24,1,21,3.5,9,0.389,1,2.3,0.444,2.5,6.8,0.37,0.444,2,2.3,0.87,0.3,1.8,2.1,3.4,0.3,0.1,1.8,0.8,10,Atlanta Hawks,1610612737
12,Rajon Rondo,34,27,2,14.9,1.6,4.1,0.4,0.6,1.7,0.378,1,2.4,0.415,0.477,0,0.1,0.5,0.1,1.9,2,3.5,0.7,0.1,1.4,0.9,3.9,Atlanta Hawks,1610612737
1,James Harden,31,36,35,36.6,7.8,16.6,0.471,2.7,7.3,0.366,5.2,9.4,0.552,0.551,6.3,7.3,0.856,0.8,7.7,8.5,10.9,1.3,0.8,4,2.4,24.6,Brooklyn Nets,1610612751
2,Kyrie Irving,28,54,54,34.9,10.2,20.1,0.506,2.8,7,0.402,7.4,13.1,0.561,0.576,3.7,4,0.922,1,3.8,4.8,6,1.4,0.7,2.4,2.6,26.9,Brooklyn Nets,1610612751
3,Kevin Durant,32,35,32,33.1,9.3,17.2,0.537,2.4,5.4,0.45,6.8,11.8,0.577,0.608,6,6.8,0.882,0.4,6.7,7.1,5.6,0.7,1.3,3.4,2,26.9,Brooklyn Nets,1610612751
4,Joe Harris,29,69,65,31,5.2,10.2,0.505,3.1,6.4,0.475,2.1,3.8,0.555,0.654,0.7,0.9,0.778,0.6,3,3.6,1.9,0.7,0.2,0.9,2,14.1,Brooklyn Nets,1610612751
