new_col,name,number,position,ht,wt,birth_date,birth_country,exp,college,Team_Id,TEAM_ID
sdsd,Solomon Hill,18,PF,6-Jun,226,18-Mar-91,us,7,Arizona,Atlanta Hawks,1610612737
dsdsd,Kevin Huerter,3,SG,7-Jun,190,27-Aug-98,us,2,Maryland,Atlanta Hawks,1610612737
,Trae Young,11,PG,1-Jun,180,19-Sep-98,us,2,Oklahoma,Atlanta Hawks,1610612737
,John Collins,20,PF,9-Jun,235,23-Sep-97,us,3,Wake Forest,Atlanta Hawks,1610612737
,Clint Capela,15,C,10-Jun,240,18-May-94,ch,6,,Atlanta Hawks,1610612737
,Danilo Gallinari,8,PF,10-Jun,233,8-Aug-88,it,11,,Atlanta Hawks,1610612737
,Onyeka Okongwu,17,C,8-Jun,235,11-Dec-00,us,R,USC,Atlanta Hawks,1610612737
,Tony Snell,19,SG,6-Jun,213,10-Nov-91,us,7,New Mexico,Atlanta Hawks,1610612737
,Brandon Goodwin,0,PG,Jun-00,180,2-Oct-95,us,2,"Central Florida, Florida Gulf Coast",Atlanta Hawks,1610612737
,Bogdan Bogdanović,13,SG,6-Jun,220,18-Aug-92,rs,3,,Atlanta Hawks,1610612737
,Skylar Mays  (TW),4,SG,4-Jun,205,5-Sep-97,us,R,LSU,Atlanta Hawks,1610612737
,Nathan Knight  (TW),1,PF,10-Jun,253,20-Sep-97,us,R,William & Mary,Atlanta Hawks,1610612737
,Cam Reddish,22,SF,8-Jun,218,1-Sep-99,us,1,Duke,Atlanta Hawks,1610612737
,Lou Williams,6,PG,1-Jun,175,27-Oct-86,us,15,,Atlanta Hawks,1610612737
,De'Andre Hunter,12,SF,8-Jun,225,2-Dec-97,us,1,Virginia,Atlanta Hawks,1610612737
,Joe Harris,12,SF,6-Jun,220,6-Sep-91,us,6,Virginia,Brooklyn Nets,1610612751
,Jeff Green,8,C,8-Jun,235,28-Aug-86,us,12,Georgetown,Brooklyn Nets,1610612751
,Bruce Brown,1,PG,4-Jun,202,15-Aug-96,us,2,Miami (FL),Brooklyn Nets,1610612751
,Landry Shamet,"13, 20",SG,4-Jun,190,13-Mar-97,us,2,Wichita State,Brooklyn Nets,1610612751
