new_col,player_name,age,y2020_21,y2021_22,y2022_23,y2023_24,y2024_25,y2025_26,contract_type,guaranteed,TEAM_ID,Team_Id,y2020_21_new
asdsd,Danilo Gallinari,33,"$19,500,000 ","$20,475,000 ","$21,450,000 ",,,,Sign and Trade,"$44,975,000 ",1610612737,Atlanta Hawks,19500000
sad,Bogdan Bogdanović,28,"$18,000,000 ","$18,000,000 ","$18,000,000 ","$18,000,000 ",,,Cap Space,"$54,000,000 ",1610612737,Atlanta Hawks,18000000
asdsd,Clint Capela,27,"$16,000,000 ","$17,103,448 ","$18,206,897 ",,,,Bird Rights,"$51,310,345 ",1610612737,Atlanta Hawks,16000000
adas,Tony Snell,29,"$12,178,571 ",,,,,,Cap space,"$12,178,571 ",1610612737,Atlanta Hawks,12178571
das,Lou Williams,34,"$8,000,000 ","$5,000,000 ",,,,,Cap Space,"$13,000,000 ",1610612737,Atlanta Hawks,8000000
dad,De'Andre Hunter,23,"$7,422,000 ","$7,775,400 ","$9,835,881 ",,,,1st Round Pick,"$15,197,400 ",1610612737,Atlanta Hawks,7422000
d,Trae Young,22,"$6,571,800 ","$8,326,471 ",,,,,1st Round Pick,"$14,898,271 ",1610612737,Atlanta Hawks,6571800
asad,Onyeka Okongwu,20,"$5,813,640 ","$6,104,280 ","$6,395,160 ","$8,109,063 ",,,1st Round Pick,"$11,917,920 ",1610612737,Atlanta Hawks,5813640
,Kris Dunn,27,"$4,767,000 ",,,,,,Room Exception,"$4,767,000 ",1610612737,Atlanta Hawks,4767000
,Cam Reddish,21,"$4,458,000 ","$4,670,160 ","$5,954,454 ",,,,1st Round Pick,"$9,128,160 ",1610612737,Atlanta Hawks,4458000
,John Collins,23,"$4,137,302 ","$23,000,000 ","$23,500,000 ","$25,340,000 ","$26,580,000 ","$26,580,000 ",1st Round Pick,"$129,137,302 ",1610612737,Atlanta Hawks,4137302
,Kevin Huerter,22,"$2,761,920 ","$4,253,357 ",,,,,1st Round Pick,"$7,015,277 ",1610612737,Atlanta Hawks,2761920
,Brandon Goodwin,25,"$1,701,593 ",,,,,,Minimum Salary,"$1,701,593 ",1610612737,Atlanta Hawks,1701593
,Solomon Hill,30,"$1,620,564 ",,,,,,Cap Space,"$1,620,564 ",1610612737,Atlanta Hawks,1620564
,Bruno Fernando,22,"$1,517,981 ",,,,,,Cap space,"$1,517,981 ",1610612737,Atlanta Hawks,1517981
,Team Totals,,"$115,195,055 ","$114,708,116 ","$103,342,392 ","$51,449,063 ","$26,580,000 ","$26,580,000 ",,"$373,110,068 ",1610612737,Atlanta Hawks,115195055
,Kemba Walker,31,"$34,379,100 ",,,,,,Sign and Trade,"$34,379,100 ",1610612738,Boston Celtics,34379100
,Jaylen Brown,24,"$23,437,500 ","$24,830,357 ","$26,669,643 ","$28,508,929 ",,,1st Round pick,"$103,446,429 ",1610612738,Boston Celtics,23437500
,Evan Fournier,28,"$17,450,000 ",,,,,,Cap Space,"$17,450,000 ",1610612738,Boston Celtics,17450000
,Marcus Smart,27,"$13,446,428 ","$14,339,285 ",,,,,Bird Rights,"$27,785,713 ",1610612738,Boston Celtics,13446428
,Jayson Tatum,23,"$9,897,120 ","$28,103,550 ","$30,351,834 ","$32,600,118 ","$34,848,402 ","$37,096,686 ",1st Round Pick,"$135,801,024 ",1610612738,Boston Celtics,9897120
,Tristan Thompson,30,"$9,258,000 ",,,,,,MLE,"$9,258,000 ",1610612738,Boston Celtics,9258000
,Romeo Langford,21,"$3,631,200 ","$3,804,360 ","$5,634,257 ",,,,1st Round Pick,"$7,435,560 ",1610612738,Boston Celtics,3631200
,Aaron Nesmith,21,"$3,458,400 ","$3,631,200 ","$3,804,360 ","$5,634,257 ",,,1st Round Pick,"$7,089,600 ",1610612738,Boston Celtics,3458400
,Grant Williams,22,"$2,498,760 ","$2,617,800 ","$4,306,281 ",,,,1st Round Pick,"$5,116,560 ",1610612738,Boston Celtics,2498760
,Luke Kornet,26,"$2,250,000 ",,,,,,Room Exception,"$2,250,000 ",1610612738,Boston Celtics,2250000
,Payton Pritchard,23,"$2,035,800 ","$2,137,440 ","$2,239,200 ","$4,037,278 ",,,1st Round Pick,"$4,173,240 ",1610612738,Boston Celtics,2035800
,Robert Williams,23,"$2,029,920 ","$3,661,976 ",,,,,1st Round Pick,"$5,691,896 ",1610612738,Boston Celtics,2029920
,Semi Ojeleye,26,"$1,752,950 ",,,,,,Cap space,"$1,752,950 ",1610612738,Boston Celtics,1752950
,Carsen Edwards,23,"$1,517,981 ","$1,782,621 ","$1,930,681 ",,,,Cap space,"$3,300,602 ",1610612738,Boston Celtics,1517981
,Jabari Parker,26,"$430,729 ","$2,283,034 ",,,,,Minimum Salary,"$430,729 ",1610612738,Boston Celtics,430729
,Team Totals,,"$130,767,745 ","$88,323,560 ","$75,029,113 ","$70,873,439 ","$34,848,402 ","$37,096,686 ",,"$369,972,911 ",1610612738,Boston Celtics,130767745
