LEAGUE_ID,TEAM_ID,MIN_YEAR,MAX_YEAR,Team_Id,ABBREVIATION,NICKNAME,YEARFOUNDED,CITY,ARENA,ARENACAPACITY,OWNER,GENERALMANAGER,HEADCOACH,DLEAGUEAFFILIATION,team_id,color
0,1610612737,1949,2019,Atlanta Hawks,ATL,Hawks,1949,Atlanta,State Farm Arena,18729,Tony Ressler,Travis Schlenk,Lloyd Pierce,Erie Bayhawks,atl,red
0,1610612751,1976,2019,Brooklyn Nets,BKN,Nets,1976,Brooklyn,Barclays Center,,Joe Tsai,Sean Marks,Kenny Atkinson,Long Island Nets,bkn,black
0,1610612738,1946,2019,Boston Celtics,BOS,Celtics,1946,Boston,TD Garden,18624,Wyc Grousbeck,Danny Ainge,Brad Stevens,Maine Red Claws,bos,green
0,1610612766,1988,2019,Charlotte Hornets,CHA,Hornets,1988,Charlotte,Spectrum Center,19026,Michael Jordan,Mitch Kupchak,James Borrego,Greensboro Swarm,cha,blue
0,1610612741,1966,2019,Chicago Bulls,CHI,Bulls,1966,Chicago,United Center,21711,Jerry Reinsdorf,Gar Forman,Jim Boylen,Windy City Bulls,chi,red
0,1610612739,1970,2019,Cleveland Cavaliers,CLE,Cavaliers,1970,Cleveland,Quicken Loans Arena,20562,Dan Gilbert,Koby Altman,John Beilein,Canton Charge,cle,darkorange2
0,1610612742,1980,2019,Dallas Mavericks,DAL,Mavericks,1980,Dallas,American Airlines Center,19200,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends,dal,blue
0,1610612743,1976,2019,Denver Nuggets,DEN,Nuggets,1976,Denver,Pepsi Center,19099,Stan Kroenke,Tim Connelly,Michael Malone,No Affiliate,den,yellow
0,1610612765,1948,2019,Detroit Pistons,DET,Pistons,1948,Detroit,Little Caesars Arena,21000,Tom Gores,Ed Stefanski,Dwane Casey,Grand Rapids Drive,det,red
0,1610612744,1946,2019,Golden State Warriors,GSW,Warriors,1946,Golden State,Chase Center,19596,Joe Lacob,Bob Myers,Steve Kerr,Santa Cruz Warriors,gsw,blue
0,1610612745,1967,2019,Houston Rockets,HOU,Rockets,1967,Houston,Toyota Center,18104,Tilman Fertitta,Daryl Morey,Mike D'Antoni,Rio Grande Valley Vipers,hou,red
0,1610612754,1976,2019,Indiana Pacers,IND,Pacers,1976,Indiana,Bankers Life Fieldhouse,18345,Herb Simon,Kevin Pritchard,Nate McMillan,Fort Wayne Mad Ants,ind,yellow
0,1610612746,1970,2019,Los Angeles Clippers,LAC,Clippers,1970,Los Angeles,Staples Center,19060,Steve Ballmer,Michael Winger,Doc Rivers,Agua Caliente Clippers of Ontario,lac,red
0,1610612747,1948,2019,Los Angeles Lakers,LAL,Lakers,1948,Los Angeles,Staples Center,19060,Jerry Buss Family Trust,Rob Pelinka,Frank Vogel,South Bay Lakers,lal,purple
